Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,User Name,Password
388642,Mrs.,Ruby,R,Rogers,F,ruby.rogers@gmail.com,5/1/1980,37.27,59,8/30/2013,Aug,30,Friday,Fri,3.91,160623,rrrogers,t>#P@D9s<:9\V
560455,Ms.,Carolyn,V,Hayes,F,carolyn.hayes@hotmail.co.uk,3/10/1958,59.42,53,7/3/2001,Jul,3,Tuesday,Tue,16.08,42005,cvhayes,NY!Y2sw.[_v-Q9{
477253,Mrs.,Anne,L,Russell,F,anne.russell@ibm.com,7/29/1989,28.02,60,11/24/2013,Nov,24,Sunday,Sun,3.68,103160,alrussell,c8Nk&Y^~Vz!2
263480,Hon.,Daniel,K,Cooper,M,daniel.cooper@yahoo.com,1/1/1990,27.59,60,3/6/2014,Mar,6,Thursday,Thu,3.4,153790,dkcooper,d8p{Pwx2fsW0-Z
683826,Mr.,Roger,L,Roberts,M,roger.roberts@gmail.com,7/7/1969,48.09,77,1/29/2009,Jan,29,Thursday,Thu,8.5,129625,rlroberts,41:C_0ik|Jb0iTO
474599,Drs.,Maria,W,Walker,F,maria.walker@microsoft.com,3/19/1975,42.39,41,10/1/1998,Oct,1,Thursday,Thu,18.84,48944,mwwalker,cw?%U}s{?
335732,Ms.,Brenda,M,Butler,F,brenda.butler@gmail.com,12/6/1963,53.68,41,8/20/1987,Aug,20,Thursday,Thu,29.96,60508,bmbutler,u+CtpZ~gyR*>
329752,Hon.,Lillian,X,Brown,F,lillian.brown@aol.com,5/12/1981,36.24,49,4/13/2015,Apr,13,Monday,Mon,2.29,67251,lxbrown,CG-M5~z:
893212,Ms.,Amy,B,Howard,F,amy.howard@aol.com,6/16/1981,36.14,52,6/1/2003,Jun,1,Sunday,Sun,14.17,112715,abhoward,tNo::TEG
621833,Mr.,Gregory,X,Edwards,M,gregory.edwards@outlook.com,8/31/1993,23.92,64,9/30/2015,Sep,30,Wednesday,Wed,1.83,169245,gxedwards,V^sVy*MO{
456747,Mr.,Roy,Z,Griffin,M,roy.griffin@yahoo.com,5/8/1991,26.24,62,8/23/2012,Aug,23,Thursday,Thu,4.93,170895,rzgriffin,qm&h<b.NsKaZ
278556,Prof.,Richard,Y,Mitchell,M,richard.mitchell@verizon.net,7/28/1993,24.02,81,8/18/2016,Aug,18,Thursday,Thu,0.94,122226,rymitchell,RWeXJPOi:KpX<Rn
333476,Hon.,Mary,P,Wilson,F,mary.wilson@sbcglobal.net,12/1/1967,49.69,54,12/22/1991,Dec,22,Sunday,Sun,25.62,109394,mpwilson,Pwl&W:|<_
218791,Mr.,Aaron,N,Price,M,aaron.price@bp.com,2/10/1969,48.49,56,7/3/1997,Jul,3,Thursday,Thu,20.08,54402,anprice,uKxgV4uO&k@
134841,Ms.,Donna,R,Brown,F,donna.brown@aol.com,9/14/1983,33.89,57,7/17/2013,Jul,17,Wednesday,Wed,4.03,129836,drbrown,u?%QOo2ykK
726264,Hon.,Carl,N,Collins,M,carl.collins@yahoo.com,12/22/1973,43.63,90,6/9/2007,Jun,9,Saturday,Sat,10.14,162159,cncollins,XinULSmjAFL/
766610,Ms.,Joyce,E,Jenkins,F,joyce.jenkins@aol.com,8/22/1961,55.97,44,5/14/2010,May,14,Friday,Fri,7.21,119321,jejenkins,C5/iW3Ry#o{~elV
923947,Ms.,Mary,G,Bryant,F,mary.bryant@verizon.net,6/21/1962,55.14,45,5/20/2004,May,20,Thursday,Thu,13.2,155442,mgbryant,A[iR?Z1{
227922,Hon.,Amanda,M,Hughes,F,amanda.hughes@rediffmail.com,7/29/1982,35.02,40,4/19/2007,Apr,19,Thursday,Thu,10.28,114257,amhughes,B2N>J{_k7]F
265813,Hon.,Jack,E,Campbell,M,jack.campbell@gmail.com,1/4/1985,32.58,50,7/29/2007,Jul,29,Sunday,Sun,10.01,186280,jecampbell,rh\N>WRr4hl~l
247137,Mr.,Alan,E,Rivera,M,alan.rivera@apple.com,12/11/1978,38.65,80,6/7/2006,Jun,7,Wednesday,Wed,11.15,154810,aerivera,rSuD~3HS*{S
407061,Ms.,Elizabeth,Q,Jackson,F,elizabeth.jackson@aol.com,8/15/1964,52.99,56,1/19/2005,Jan,19,Wednesday,Wed,12.53,85420,eqjackson,EAHcnWsf6xMRwr]
226714,Drs.,Nancy,L,Davis,F,nancy.davis@ibm.com,11/14/1983,33.73,52,8/25/2012,Aug,25,Saturday,Sat,4.93,94986,nldavis,bv-KfTutT?0*pm
702813,Mr.,Ernest,D,Martinez,M,ernest.martinez@gmail.com,11/9/1989,27.73,53,1/24/2016,Jan,24,Sunday,Sun,1.51,172098,edmartinez,qe?JNGBY{[\7;dD
524896,Ms.,Judy,Y,Hernandez,F,judy.hernandez@gmail.com,3/25/1961,56.38,40,12/27/2011,Dec,27,Tuesday,Tue,5.59,133332,jyhernandez,kiB:v!j&?D!&NYY
363065,Drs.,Nancy,L,Jones,F,nancy.jones@gmail.com,11/10/1993,23.73,60,10/16/2015,Oct,16,Friday,Fri,1.78,61924,nljones,J}HJq/zVF-Aq2
879753,Mrs.,Pamela,X,Wright,F,pamela.wright@aol.com,4/14/1996,21.3,47,6/9/2017,Jun,9,Friday,Fri,0.13,149262,pxwright,3a*&[Y^pV\0!rU
958326,Mr.,Larry,T,Miller,M,larry.miller@shell.com,10/31/1988,28.76,75,2/22/2017,Feb,22,Wednesday,Wed,0.43,97904,ltmiller,2WgF#:ew**x#
447813,Mrs.,Ann,Q,Coleman,F,ann.coleman@ibm.com,5/11/1989,28.23,41,11/19/2013,Nov,19,Tuesday,Tue,3.69,130014,aqcoleman,g2]GlvlL5
525955,Drs.,Judy,C,Gonzales,F,judy.gonzales@gmail.com,6/17/1959,58.15,51,1/3/1992,Jan,3,Friday,Fri,25.58,149575,jcgonzales,yDl}pfaWs{Hro6
818384,Mr.,Peter,X,Washington,M,peter.washington@bp.com,11/6/1982,34.75,70,11/29/2009,Nov,29,Sunday,Sun,7.67,173226,pxwashington,97%d^2rk41!E>*Q
971640,Prof.,Clarence,A,Ross,M,clarence.ross@apple.com,12/13/1960,56.66,64,12/31/2008,Dec,31,Wednesday,Wed,8.58,165272,caross,h&jmac@+QD?B
253573,Ms.,Sharon,E,Lopez,F,sharon.lopez@gmail.com,5/4/1991,26.25,43,3/7/2014,Mar,7,Friday,Fri,3.39,190139,selopez,GsP~S?FYY
904898,Drs.,Ann,Q,Cooper,F,ann.cooper@exxonmobil.com,12/25/1992,24.61,44,2/15/2017,Feb,15,Wednesday,Wed,0.45,182521,aqcooper,i_^#>]tFpt
515103,Ms.,Anne,A,Perez,F,anne.perez@sbcglobal.net,5/5/1958,59.27,48,7/28/2003,Jul,28,Monday,Mon,14.01,114426,aaperez,y;n9A#}b
491943,Mrs.,Nancy,P,Howard,F,nancy.howard@gmail.com,5/5/1961,56.27,45,2/6/1999,Feb,6,Saturday,Sat,18.48,101553,nphoward,OC\&tG&?c
750173,Mr.,Antonio,R,Roberts,M,antonio.roberts@hotmail.com,8/27/1995,21.93,82,5/1/2017,May,1,Monday,Mon,0.24,181646,arroberts,h>.g!B:VcNN
687017,Ms.,Frances,P,Watson,F,frances.watson@outlook.com,1/30/1961,56.53,42,8/20/2010,Aug,20,Friday,Fri,6.94,46945,fpwatson,rjV1$at!wq53a$
241882,Ms.,Debra,G,Wood,F,debra.wood@hotmail.com,10/30/1969,47.78,54,1/10/1991,Jan,10,Thursday,Thu,26.56,84318,dgwood,iO8B@*yA*mG6b9o
758872,Mr.,Henry,Y,Jenkins,M,henry.jenkins@hotmail.com,11/6/1984,32.75,70,6/21/2017,Jun,21,Wednesday,Wed,0.1,102384,hyjenkins,zPnRU5Bo
940922,Hon.,Melissa,X,Butler,F,melissa.butler@hotmail.com,11/14/1994,22.72,55,2/5/2017,Feb,5,Sunday,Sun,0.47,167631,mxbutler,hY3BqUR>6F
917937,Mr.,Todd,H,Hall,M,todd.hall@yahoo.com,8/31/1991,25.93,74,5/8/2016,May,8,Sunday,Sun,1.22,163560,thhall,Lgdb8q<0L@-/
917395,Hon.,Christopher,D,Nelson,M,christopher.nelson@aol.com,3/29/1960,57.37,62,11/8/1997,Nov,8,Saturday,Sat,19.73,190765,cdnelson,QKae{1EP1A[SeX
183071,Drs.,Andrea,P,Garcia,F,andrea.garcia@aol.com,7/6/1985,32.08,52,4/18/2010,Apr,18,Sunday,Sun,7.28,54179,apgarcia,eI!^kXR]Q^V+
316110,Mr.,Jeremy,I,Sanchez,M,jeremy.sanchez@hotmail.com,2/5/1965,52.51,52,4/2/2006,Apr,2,Sunday,Sun,11.33,178847,jisanchez,Yg#Z+:CDwDV<*xZ
293459,Mr.,Steven,J,Phillips,M,steven.phillips@hotmail.com,9/12/1986,30.9,58,3/27/2015,Mar,27,Friday,Fri,2.34,90108,sjphillips,ht}X55$P&g1
732017,Ms.,Cynthia,J,Ramirez,F,cynthia.ramirez@btinternet.com,9/22/1982,34.87,47,2/18/2009,Feb,18,Wednesday,Wed,8.44,90531,cjramirez,qP-#AhuNuz*Wb]
915638,Dr.,Jason,W,Anderson,M,jason.anderson@gmail.com,1/3/1974,43.59,57,9/21/1999,Sep,21,Tuesday,Tue,17.86,76636,jwanderson,a3Hlk+.V/TjD
478003,Hon.,Cynthia,X,White,F,cynthia.white@gmail.com,6/15/1963,54.16,60,3/4/2004,Mar,4,Thursday,Thu,13.41,186200,cxwhite,mofyGR>.?Dwb4!
951225,Ms.,Margaret,N,Brooks,F,margaret.brooks@gmail.com,6/27/1992,25.1,56,8/26/2016,Aug,26,Friday,Fri,0.92,43867,mnbrooks,0*2k8uW&:{i{
883936,Mr.,Douglas,I,Flores,M,douglas.flores@gmail.com,4/21/1986,31.29,61,9/10/2009,Sep,10,Thursday,Thu,7.88,181793,diflores,9||FLq|0tU|9>v
528673,Hon.,Paul,V,Watson,M,paul.watson@hotmail.com,3/9/1959,58.43,60,6/26/1995,Jun,26,Monday,Mon,22.1,145235,pvwatson,7q{iHhbgWZ7%
765850,Mrs.,Linda,R,Moore,F,linda.moore@gmail.com,8/18/1991,25.96,40,5/15/2017,May,15,Monday,Mon,0.2,113256,lrmoore,0jj}jl_r/VmJ;
262382,Ms.,Cheryl,O,Miller,F,cheryl.miller@ntlworld.com,4/20/1985,32.29,48,7/30/2007,Jul,30,Monday,Mon,10,64143,comiller,Nr-t/.^cWBO
870820,Ms.,Martha,G,Washington,F,martha.washington@aol.com,3/28/1991,26.35,54,3/3/2017,Mar,3,Friday,Fri,0.4,116629,mgwashington,ju$7I]eH8{-
806955,Mr.,William,G,Hernandez,M,william.hernandez@rediffmail.com,7/22/1967,50.05,50,3/21/2000,Mar,21,Tuesday,Tue,17.36,73734,wghernandez,BRB3DFywgZZ4
325319,Hon.,Carolyn,F,Price,F,carolyn.price@yahoo.com,5/30/1976,41.19,60,11/5/2014,Nov,5,Wednesday,Wed,2.73,48736,cfprice,K*$u@MAoH
623253,Mrs.,Ruby,Q,Stewart,F,ruby.stewart@gmail.com,10/23/1968,48.79,48,7/2/2017,Jul,2,Sunday,Sun,0.07,174774,rqstewart,C\RjCUPJd[Ld]
225925,Mr.,Paul,D,Cooper,M,paul.cooper@gmail.com,8/12/1991,25.98,68,9/8/2014,Sep,8,Monday,Mon,2.89,73526,pdcooper,hW%ZbJ\fZ-
761821,Mr.,Ernest,G,Washington,M,ernest.washington@msn.com,10/28/1984,32.77,87,1/31/2015,Jan,31,Saturday,Sat,2.49,176675,egwashington,B\Wb^6W-
400173,Ms.,Dorothy,K,Edwards,F,dorothy.edwards@hotmail.co.uk,1/19/1984,33.55,57,12/31/2013,Dec,31,Tuesday,Tue,3.58,179017,dkedwards,VWEIm3YKm65|D
802554,Mr.,Ryan,V,Alexander,M,ryan.alexander@shell.com,8/1/1993,24.01,65,8/31/2014,Aug,31,Sunday,Sun,2.91,106628,rvalexander,3N3]VFZx?MaC{
476433,Ms.,Lillian,N,Mitchell,F,lillian.mitchell@shaw.ca,10/23/1974,42.79,55,12/7/1999,Dec,7,Tuesday,Tue,17.65,149878,lnmitchell,Ty/b@+;f
533952,Ms.,Kelly,R,Adams,F,kelly.adams@bp.com,5/23/1975,42.21,53,7/4/2013,Jul,4,Thursday,Thu,4.07,51878,kradams,OfK?#J|7&W\1T
623929,Prof.,Jimmy,R,Howard,M,jimmy.howard@yahoo.com,11/27/1966,50.7,87,12/12/2007,Dec,12,Wednesday,Wed,9.63,120631,jrhoward,0v+|SfA0Xv+Pf%
844177,Ms.,Margaret,T,Allen,F,margaret.allen@gmail.com,9/8/1981,35.91,43,5/17/2013,May,17,Friday,Fri,4.2,180107,mtallen,oC1OHlW%Sk@%6
212893,Ms.,Janet,Y,Henderson,F,janet.henderson@ntlworld.com,12/24/1979,37.62,60,12/18/2012,Dec,18,Tuesday,Tue,4.61,114481,jyhenderson,g-oCs-L/za
185032,Mr.,Eugene,D,Perez,M,eugene.perez@exxonmobil.com,10/6/1979,37.84,59,12/8/2014,Dec,8,Monday,Mon,2.64,122950,edperez,g]SJn<W_/#
867084,Ms.,Deborah,E,Smith,F,deborah.smith@yahoo.com,10/31/1977,39.77,54,3/4/2002,Mar,4,Monday,Mon,15.41,52767,desmith,C[WxHsB9
969964,Hon.,Janice,S,Parker,F,janice.parker@yahoo.com,1/12/1980,37.57,56,8/23/2016,Aug,23,Tuesday,Tue,0.93,147641,jsparker,8wUbWmuib
158666,Ms.,Rebecca,A,Stewart,F,rebecca.stewart@gmail.com,8/11/1961,56,55,4/10/1983,Apr,10,Sunday,Sun,34.32,160043,rastewart,7ONuh3Zi^z#32r
489424,Dr.,Phillip,F,White,M,phillip.white@gmail.com,3/4/1978,39.43,82,1/5/2016,Jan,5,Tuesday,Tue,1.56,181774,pfwhite,8<Mc.5]eu.*C8.
639892,Mr.,Jose,K,Hill,M,jose.hill@hotmail.com,10/8/1994,22.82,89,7/9/2016,Jul,9,Saturday,Sat,1.05,129774,jkhill,a_!SKb6h3?w*Mad
704709,Dr.,Harold,Z,Nelson,M,harold.nelson@gmail.com,12/24/1984,32.61,77,8/23/2011,Aug,23,Tuesday,Tue,5.93,156194,hznelson,z/-hEz3&^q5
461593,Ms.,Nicole,O,Ward,F,nicole.ward@yahoo.com,12/12/1964,52.66,60,1/23/1989,Jan,23,Monday,Mon,28.53,95673,noward,AUe6s0@:@]A3Ze
392491,Mrs.,Theresa,R,Murphy,F,theresa.murphy@gmail.com,12/30/1987,29.6,57,8/3/2010,Aug,3,Tuesday,Tue,6.99,51015,trmurphy,V]PGw>4h9
495141,Drs.,Tammy,B,Young,F,tammy.young@comcast.net,3/22/1979,38.38,55,4/25/2015,Apr,25,Saturday,Sat,2.26,93650,tbyoung,d6!&xu12A1H^i![
